"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 26 09:54:44 GMT 2023","Fri May 26 09:54:49 GMT 2023","4674","","Проверка petstore API","","pro.test.ApiTests","testPetsByActiveStatusWithSchema","Проверка findByStatus со статусом available",""
"passed","Fri May 26 09:54:42 GMT 2023","Fri May 26 09:54:42 GMT 2023","19","","Первые SQL тесты","","pro.test.SQLTest","checkSQLJoin","Проверка default значений полей",""
"passed","Fri May 26 09:54:50 GMT 2023","Fri May 26 09:54:54 GMT 2023","3627","","Первые UI тесты","","pro.test.UiTests","testContextMenu","Проверка работы с ContextMenu",""
"passed","Fri May 26 09:54:42 GMT 2023","Fri May 26 09:54:42 GMT 2023","194","","Первые SQL тесты","","pro.test.SQLTest","checkSQL","Проверка имени сотрудника",""
"passed","Fri May 26 09:54:50 GMT 2023","Fri May 26 09:54:54 GMT 2023","4006","","Первые UI тесты","","pro.test.UiTests","testDragAndDrop","Проверка работы DragAndDrop",""
"failed","Fri May 26 09:54:40 GMT 2023","Fri May 26 09:54:54 GMT 2023","13278","","Первые UI тесты","","pro.test.UiTests","testDownload","Проверка работы c загрузкой файлов",""
"passed","Fri May 26 09:54:45 GMT 2023","Fri May 26 09:54:49 GMT 2023","3331","","Первые UI тесты","","pro.test.UiTests","testCheckboxes","Проверка работы Checkboxes [1] checkboxNumber=1",""
"passed","Fri May 26 09:54:44 GMT 2023","Fri May 26 09:54:50 GMT 2023","6068","","Проверка petstore API","","pro.test.ApiTests","testDeletePets","Проверка удаления питомца",""
"passed","Fri May 26 09:54:51 GMT 2023","Fri May 26 09:54:54 GMT 2023","3752","","Первые UI тесты","","pro.test.UiTests","testDropdown","Проверка работы Dropdown",""
"passed","Fri May 26 09:54:50 GMT 2023","Fri May 26 09:54:59 GMT 2023","8960","","Первые UI тесты","","pro.test.UiTests","testRendered","Проверка работы c подгружаемыми элементами",""
"passed","Fri May 26 09:54:51 GMT 2023","Fri May 26 09:54:55 GMT 2023","3954","","Первые UI тесты","","pro.test.UiTests","testUpload","Проверка работы c выгрузкой файлов",""
"passed","Fri May 26 09:54:49 GMT 2023","Fri May 26 09:54:50 GMT 2023","1065","","Проверка petstore API","","pro.test.ApiTests","testUpdatePets","Проверка обновления данных о питомце",""
"passed","Fri May 26 09:54:51 GMT 2023","Fri May 26 09:55:00 GMT 2023","8951","","Первые UI тесты","","pro.test.UiTests","testHidden","Проверка работы со скрытыми элементами",""
"passed","Fri May 26 09:54:49 GMT 2023","Fri May 26 09:54:49 GMT 2023","636","","Первые UI тесты","","pro.test.UiTests","testCheckboxes","Проверка работы Checkboxes [2] checkboxNumber=2",""
"failed","Fri May 26 09:54:49 GMT 2023","Fri May 26 09:54:55 GMT 2023","5552","","Первые UI тесты","","pro.test.UiTests","testLogin","Проверка успешной авторизации",""
"passed","Fri May 26 09:54:42 GMT 2023","Fri May 26 09:54:42 GMT 2023","19","","Первые SQL тесты","","pro.test.SQLTest","deleteSQL","Удаление записей",""
"passed","Fri May 26 09:54:42 GMT 2023","Fri May 26 09:54:42 GMT 2023","10","","Первые SQL тесты","","pro.test.SQLTest","updateSQL","Обновление данных в таблице",""
