"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 12:32:03 GMT 2023","Wed May 24 12:32:10 GMT 2023","7714","","Первые UI тесты","","pro.test.UiTests","testDropdown","Проверка работы Dropdown",""
"passed","Wed May 24 12:32:03 GMT 2023","Wed May 24 12:32:11 GMT 2023","8529","","Первые UI тесты","","pro.test.UiTests","testDragAndDrop","Проверка работы DragAndDrop",""
"failed","Wed May 24 12:32:00 GMT 2023","Wed May 24 12:32:02 GMT 2023","1930","","Проверка petstore API","","pro.test.ApiTests","testPetsByActiveStatusWithSchema","Проверка findByStatus со статусом available",""
"passed","Wed May 24 12:31:56 GMT 2023","Wed May 24 12:31:56 GMT 2023","151","","Первые SQL тесты","","pro.test.SQLTest","checkSQL","Проверка имени сотрудника",""
"passed","Wed May 24 12:32:02 GMT 2023","Wed May 24 12:32:12 GMT 2023","9151","","Первые UI тесты","","pro.test.UiTests","testCheckboxes","Проверка работы Checkboxes [2] checkboxNumber=2",""
"passed","Wed May 24 12:31:56 GMT 2023","Wed May 24 12:31:56 GMT 2023","15","","Первые SQL тесты","","pro.test.SQLTest","deleteSQL","Удаление записей",""
"passed","Wed May 24 12:32:02 GMT 2023","Wed May 24 12:32:02 GMT 2023","649","","Проверка petstore API","","pro.test.ApiTests","testUpdatePets","Проверка обновления данных о питомце",""
"failed","Wed May 24 12:32:02 GMT 2023","Wed May 24 12:32:16 GMT 2023","13523","","Первые UI тесты","","pro.test.UiTests","testLogin","Проверка успешной авторизации",""
"passed","Wed May 24 12:31:56 GMT 2023","Wed May 24 12:31:56 GMT 2023","11","","Первые SQL тесты","","pro.test.SQLTest","updateSQL","Обновление данных в таблице",""
"passed","Wed May 24 12:32:03 GMT 2023","Wed May 24 12:32:16 GMT 2023","12651","","Первые UI тесты","","pro.test.UiTests","testHidden","Проверка работы со скрытыми элементами",""
"passed","Wed May 24 12:32:03 GMT 2023","Wed May 24 12:32:11 GMT 2023","8510","","Первые UI тесты","","pro.test.UiTests","testUpload","Проверка работы c выгрузкой файлов",""
"passed","Wed May 24 12:32:03 GMT 2023","Wed May 24 12:32:16 GMT 2023","12897","","Первые UI тесты","","pro.test.UiTests","testRendered","Проверка работы c подгружаемыми элементами",""
"passed","Wed May 24 12:31:56 GMT 2023","Wed May 24 12:31:56 GMT 2023","11","","Первые SQL тесты","","pro.test.SQLTest","checkSQLJoin","Проверка default значений полей",""
"passed","Wed May 24 12:32:03 GMT 2023","Wed May 24 12:32:11 GMT 2023","8404","","Первые UI тесты","","pro.test.UiTests","testContextMenu","Проверка работы с ContextMenu",""
"passed","Wed May 24 12:31:55 GMT 2023","Wed May 24 12:32:11 GMT 2023","15620","","Первые UI тесты","","pro.test.UiTests","testDownload","Проверка работы c загрузкой файлов",""
"passed","Wed May 24 12:31:59 GMT 2023","Wed May 24 12:32:02 GMT 2023","3753","","Проверка petstore API","","pro.test.ApiTests","testDeletePets","Проверка удаления питомца",""
"passed","Wed May 24 12:31:59 GMT 2023","Wed May 24 12:32:11 GMT 2023","11880","","Первые UI тесты","","pro.test.UiTests","testCheckboxes","Проверка работы Checkboxes [1] checkboxNumber=1",""
