"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 12:13:32 GMT 2023","Wed May 24 12:13:51 GMT 2023","19211","","Первые UI тесты","","pro.test.UiTests","testDownload","Проверка работы c загрузкой файлов",""
"passed","Wed May 24 12:13:43 GMT 2023","Wed May 24 12:13:56 GMT 2023","13275","","Первые UI тесты","","pro.test.UiTests","testHidden","Проверка работы со скрытыми элементами",""
"passed","Wed May 24 12:13:36 GMT 2023","Wed May 24 12:13:42 GMT 2023","6128","","Проверка petstore API","","pro.test.ApiTests","testDeletePets","Проверка удаления питомца",""
"passed","Wed May 24 12:13:42 GMT 2023","Wed May 24 12:13:51 GMT 2023","8743","","Первые UI тесты","","pro.test.UiTests","testContextMenu","Проверка работы с ContextMenu",""
"passed","Wed May 24 12:13:43 GMT 2023","Wed May 24 12:13:52 GMT 2023","9137","","Первые UI тесты","","pro.test.UiTests","testUpload","Проверка работы c выгрузкой файлов",""
"failed","Wed May 24 12:13:37 GMT 2023","Wed May 24 12:13:41 GMT 2023","4129","","Проверка petstore API","","pro.test.ApiTests","testPetsByActiveStatusWithSchema","Проверка findByStatus со статусом available",""
"passed","Wed May 24 12:13:33 GMT 2023","Wed May 24 12:13:34 GMT 2023","134","","Первые SQL тесты","","pro.test.SQLTest","checkSQL","Проверка имени сотрудника",""
"passed","Wed May 24 12:13:43 GMT 2023","Wed May 24 12:13:56 GMT 2023","13545","","Первые UI тесты","","pro.test.UiTests","testRendered","Проверка работы c подгружаемыми элементами",""
"passed","Wed May 24 12:13:41 GMT 2023","Wed May 24 12:13:42 GMT 2023","1011","","Проверка petstore API","","pro.test.ApiTests","testUpdatePets","Проверка обновления данных о питомце",""
"passed","Wed May 24 12:13:43 GMT 2023","Wed May 24 12:13:51 GMT 2023","8912","","Первые UI тесты","","pro.test.UiTests","testDragAndDrop","Проверка работы DragAndDrop",""
"passed","Wed May 24 12:13:34 GMT 2023","Wed May 24 12:13:34 GMT 2023","7","","Первые SQL тесты","","pro.test.SQLTest","checkSQLJoin","Проверка default значений полей",""
"passed","Wed May 24 12:13:42 GMT 2023","Wed May 24 12:13:52 GMT 2023","9616","","Первые UI тесты","","pro.test.UiTests","testCheckboxes","Проверка работы Checkboxes [1] checkboxNumber=1",""
"passed","Wed May 24 12:13:43 GMT 2023","Wed May 24 12:13:52 GMT 2023","9119","","Первые UI тесты","","pro.test.UiTests","testCheckboxes","Проверка работы Checkboxes [2] checkboxNumber=2",""
"passed","Wed May 24 12:13:34 GMT 2023","Wed May 24 12:13:34 GMT 2023","19","","Первые SQL тесты","","pro.test.SQLTest","deleteSQL","Удаление записей",""
"passed","Wed May 24 12:13:43 GMT 2023","Wed May 24 12:13:51 GMT 2023","8085","","Первые UI тесты","","pro.test.UiTests","testDropdown","Проверка работы Dropdown",""
"failed","Wed May 24 12:13:42 GMT 2023","Wed May 24 12:13:57 GMT 2023","14586","","Первые UI тесты","","pro.test.UiTests","testLogin","Проверка успешной авторизации",""
"passed","Wed May 24 12:13:34 GMT 2023","Wed May 24 12:13:34 GMT 2023","13","","Первые SQL тесты","","pro.test.SQLTest","updateSQL","Обновление данных в таблице",""
